,accuracy,roc_auc,pr_auc
Baseline CNN,0.4672131147540984,0.43724805159903257,0.44493684850749565
BatchNorm,0.5819672131147541,0.5646331631281913,0.5349564830153515
Dropout,0.5737704918032787,0.5646331631281913,0.5457641345999877
BatchNorm + Dropout,0.5573770491803278,0.5603332437516797,0.5091540863087183
