method,weight_decay,accuracy,roc_auc,pr_auc,final_train_loss,final_test_loss
L2,0.001,0.5245901639344263,0.527008868583714,0.49615974781063793,0.3650119826197624,0.8596867173910141
L2,0.0001,0.5,0.5208277344799785,0.4865589078753722,0.37141810078173876,0.8568499237298965
L2,1e-05,0.48360655737704916,0.486697124428917,0.4599452658498705,0.39371232595294714,0.8980461284518242
L2+Dropout,0.0001,0.4426229508196721,0.4348293469497447,0.46996734356746,0.5169645892456174,0.7994168847799301
