,accuracy,f1_score,auc
3,0.5733333333333334,0.5862068965517241,0.6189159292035398
5,0.5733333333333334,0.5294117647058824,0.6271333754740834
9,0.5511111111111111,0.547085201793722,0.5786978508217446
