,accuracy,f1_score,auc
4,0.5288888888888889,0.5267857142857143,0.5572060682680151
8,0.5422222222222223,0.5296803652968036,0.5856510745891277
16,0.5555555555555556,0.5689655172413793,0.6043773704171934
