,accuracy,f1,auc
0,0.5288888888888889,0.6728395061728395,0.5144732679531794
10,0.48,0.44549763033175355,0.4786459981018664
50,0.6044444444444445,0.6482213438735178,0.6145998101866498
100,0.5822222222222222,0.5982905982905983,0.6421227459664662
